,State,Demand,Forecast,Action,Reward
0,-5,0,0,0,-50
1,-5,0,0,1,-40
2,-5,0,0,2,-30
3,-5,0,0,3,-20
4,-5,0,0,4,-10
5,-5,0,0,5,7
6,-5,0,1,0,-50
7,-5,0,1,1,-40
8,-5,0,1,2,-30
9,-5,0,1,3,-20
10,-5,0,1,4,-10
11,-5,0,1,5,7
12,-5,0,2,0,-50
13,-5,0,2,1,-40
14,-5,0,2,2,-30
15,-5,0,2,3,-20
16,-5,0,2,4,-10
17,-5,0,2,5,7
18,-5,0,3,0,-50
19,-5,0,3,1,-40
20,-5,0,3,2,-30
21,-5,0,3,3,-20
22,-5,0,3,4,-10
23,-5,0,3,5,7
24,-5,0,4,0,-50
25,-5,0,4,1,-40
26,-5,0,4,2,-30
27,-5,0,4,3,-20
28,-5,0,4,4,-10
29,-5,0,4,5,7
30,-5,0,5,0,-50
31,-5,0,5,1,-40
32,-5,0,5,2,-30
33,-5,0,5,3,-20
34,-5,0,5,4,-10
35,-5,0,5,5,7
36,-5,0,6,0,-50
37,-5,0,6,1,-40
38,-5,0,6,2,-30
39,-5,0,6,3,-20
40,-5,0,6,4,-10
41,-5,0,6,5,7
42,-5,0,7,0,-50
43,-5,0,7,1,-40
44,-5,0,7,2,-30
45,-5,0,7,3,-20
46,-5,0,7,4,-10
47,-5,0,7,5,7
48,-5,1,0,0,-80
49,-5,1,0,1,-50
50,-5,1,0,2,-40
51,-5,1,0,3,-30
52,-5,1,0,4,-20
53,-5,1,0,5,-10
54,-5,1,1,0,-80
55,-5,1,1,1,-50
56,-5,1,1,2,-40
57,-5,1,1,3,-30
58,-5,1,1,4,-20
59,-5,1,1,5,-10
60,-5,1,2,0,-80
61,-5,1,2,1,-50
62,-5,1,2,2,-40
63,-5,1,2,3,-30
64,-5,1,2,4,-20
65,-5,1,2,5,-10
66,-5,1,3,0,-80
67,-5,1,3,1,-50
68,-5,1,3,2,-40
69,-5,1,3,3,-30
70,-5,1,3,4,-20
71,-5,1,3,5,-10
72,-5,1,4,0,-80
73,-5,1,4,1,-50
74,-5,1,4,2,-40
75,-5,1,4,3,-30
76,-5,1,4,4,-20
77,-5,1,4,5,-10
78,-5,1,5,0,-80
79,-5,1,5,1,-50
80,-5,1,5,2,-40
81,-5,1,5,3,-30
82,-5,1,5,4,-20
83,-5,1,5,5,-10
84,-5,1,6,0,-80
85,-5,1,6,1,-50
86,-5,1,6,2,-40
87,-5,1,6,3,-30
88,-5,1,6,4,-20
89,-5,1,6,5,-10
90,-5,1,7,0,-80
91,-5,1,7,1,-50
92,-5,1,7,2,-40
93,-5,1,7,3,-30
94,-5,1,7,4,-20
95,-5,1,7,5,#NAME?
96,-5,2,0,0,-80
97,-5,2,0,1,-80
98,-5,2,0,2,-50
99,-5,2,0,3,-40
100,-5,2,0,4,-30
101,-5,2,0,5,-20
102,-5,2,1,0,-80
103,-5,2,1,1,-80
104,-5,2,1,2,-50
105,-5,2,1,3,-40
