InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,0,0,0,[38.43697103  0.          0.          0.          0.          0.        ]
0,0,0,1,[ 0.         58.23456813  0.          0.          0.          0.        ]
0,0,0,2,[ 0.          0.         82.64097271  0.          0.          0.        ]
0,0,0,3,[ 0.          0.          0.         95.18475192  0.          0.        ]
0,0,0,4,[ 0.          0.          0.          0.         94.06394407  0.        ]
0,0,0,5,[ 0.          0.          0.          0.          0.         98.95092499]
0,0,1,0,[29.63654958  0.          0.          0.          0.          0.        ]
0,0,1,1,[ 0.         58.35990385  0.          0.          0.          0.        ]
0,0,1,2,[ 0.          0.         78.30157585  0.          0.          0.        ]
0,0,1,3,[ 0.          0.          0.         95.77969075  0.          0.        ]
0,0,1,4,[ 0.         0.         0.         0.        93.8781908  0.       ]
0,0,1,5,[ 0.          0.          0.          0.          0.         83.80679955]
0,0,2,0,[28.71160172  0.          0.          0.          0.          0.        ]
0,0,2,1,[ 0.         58.79886543  0.          0.          0.          0.        ]
0,0,2,2,[ 0.          0.         81.47895287  0.          0.          0.        ]
0,0,2,3,[ 0.          0.          0.         91.44525798  0.          0.        ]
0,0,2,4,[ 0.          0.          0.          0.         85.94124001  0.        ]
0,0,2,5,[ 0.          0.          0.          0.          0.         80.05202926]
0,0,3,0,[30.4744684  0.         0.         0.         0.         0.       ]
0,0,3,1,[ 0.         59.26554919  0.          0.          0.          0.        ]
0,0,3,2,[ 0.          0.         84.14928459  0.          0.          0.        ]
0,0,3,3,[ 0.          0.          0.         89.93104358  0.          0.        ]
0,0,3,4,[ 0.          0.          0.          0.         86.70350799  0.        ]
0,0,3,5,[ 0.          0.          0.          0.          0.         88.06439717]
0,0,4,0,[28.63913953  0.          0.          0.          0.          0.        ]
0,0,4,1,[ 0.         63.25432553  0.          0.          0.          0.        ]
0,0,4,2,[ 0.          0.         82.73355604  0.          0.          0.        ]
0,0,4,3,[ 0.         0.         0.        86.9439066  0.         0.       ]
0,0,4,4,[ 0.          0.          0.          0.         98.95933356  0.        ]
0,0,4,5,[ 0.          0.          0.          0.          0.         72.03894135]
0,0,5,0,[39.33921594  0.          0.          0.          0.          0.        ]
0,0,5,1,[ 0.         57.84225482  0.          0.          0.          0.        ]
0,0,5,2,[ 0.          0.         83.05429703  0.          0.          0.        ]
0,0,5,3,[ 0.          0.          0.         95.85281597  0.          0.        ]
0,0,5,4,[ 0.          0.          0.          0.         93.91647002  0.        ]
0,0,5,5,"[  0.           0.           0.           0.           0.
 107.59243757]"
0,0,6,0,[28.57451827  0.          0.          0.          0.          0.        ]
0,0,6,1,[ 0.         60.26008357  0.          0.          0.          0.        ]
0,0,6,2,[ 0.          0.         74.58466435  0.          0.          0.        ]
0,0,6,3,[ 0.          0.          0.         93.14598369  0.          0.        ]
0,0,6,4,[ 0.          0.          0.          0.         88.57845364  0.        ]
0,0,6,5,[ 0.          0.          0.          0.          0.         94.74457434]
0,0,7,0,[28.6722864  0.         0.         0.         0.         0.       ]
0,0,7,1,[ 0.         54.99252744  0.          0.          0.          0.        ]
0,0,7,2,[ 0.          0.         82.03430872  0.          0.          0.        ]
0,0,7,3,[ 0.          0.          0.         96.12158226  0.          0.        ]
0,0,7,4,[ 0.          0.          0.          0.         91.71670107  0.        ]
0,0,7,5,[  0.          0.          0.          0.          0.        104.4669206]
0,1,0,0,[34.35132583  0.          0.          0.          0.          0.        ]
0,1,0,1,[ 0.         37.92762724  0.          0.          0.          0.        ]
0,1,0,2,[ 0.          0.         65.66808577  0.          0.          0.        ]
0,1,0,3,[ 0.          0.          0.         84.45518525  0.          0.        ]
0,1,0,4,[ 0.          0.          0.          0.         91.29716344  0.        ]
0,1,0,5,[ 0.          0.          0.          0.          0.         84.34586424]
0,1,1,0,[36.1721819  0.         0.         0.         0.         0.       ]
0,1,1,1,[ 0.         37.73660414  0.          0.          0.          0.        ]
0,1,1,2,[ 0.          0.         64.79950954  0.          0.          0.        ]
0,1,1,3,[ 0.          0.          0.         90.08412419  0.          0.        ]
0,1,1,4,[ 0.          0.          0.          0.         93.86600989  0.        ]
0,1,1,5,[ 0.          0.          0.          0.          0.         89.92354169]
0,1,2,0,[33.67213738  0.          0.          0.          0.          0.        ]
0,1,2,1,[ 0.         37.93874716  0.          0.          0.          0.        ]
0,1,2,2,[ 0.          0.         65.41435608  0.          0.          0.        ]
0,1,2,3,[ 0.          0.          0.         85.13913744  0.          0.        ]
0,1,2,4,[ 0.          0.          0.          0.         97.87706515  0.        ]
0,1,2,5,[ 0.          0.          0.          0.          0.         94.24091322]
0,1,3,0,[33.89581164  0.          0.          0.          0.          0.        ]
0,1,3,1,[ 0.         37.82407546  0.          0.          0.          0.        ]
0,1,3,2,[ 0.          0.         67.26682638  0.          0.          0.        ]
0,1,3,3,[ 0.          0.          0.         88.54036507  0.          0.        ]
0,1,3,4,"[  0.           0.           0.           0.         100.83408966
   0.        ]"
0,1,3,5,[ 0.          0.          0.          0.          0.         71.31783185]
0,1,4,0,[34.14972381  0.          0.          0.          0.          0.        ]
0,1,4,1,[ 0.         37.53577889  0.          0.          0.          0.        ]
0,1,4,2,[ 0.          0.         67.20316918  0.          0.          0.        ]
0,1,4,3,[ 0.          0.          0.         85.93433438  0.          0.        ]
0,1,4,4,[ 0.          0.          0.          0.         85.67752826  0.        ]
0,1,4,5,[ 0.          0.          0.          0.          0.         92.20338642]
0,1,5,0,[33.53047996  0.          0.          0.          0.          0.        ]
0,1,5,1,[ 0.         38.77034185  0.          0.          0.          0.        ]
0,1,5,2,[ 0.          0.         67.43711734  0.          0.          0.        ]
0,1,5,3,[ 0.          0.          0.         88.82269216  0.          0.        ]
0,1,5,4,[ 0.          0.          0.          0.         88.80578426  0.        ]
0,1,5,5,[ 0.          0.          0.          0.          0.         87.18032525]
0,1,6,0,[33.60058537  0.          0.          0.          0.          0.        ]
0,1,6,1,[ 0.         37.53233437  0.          0.          0.          0.        ]
0,1,6,2,[ 0.          0.         66.17266649  0.          0.          0.        ]
0,1,6,3,[ 0.         0.         0.        82.7757221  0.         0.       ]
0,1,6,4,[ 0.         0.         0.         0.        96.1215494  0.       ]
0,1,6,5,[ 0.         0.         0.         0.         0.        89.3113031]
0,1,7,0,[37.16129026  0.          0.          0.          0.          0.        ]
0,1,7,1,[ 0.         43.32060558  0.          0.          0.          0.        ]
0,1,7,2,[ 0.          0.         64.67101489  0.          0.          0.        ]
0,1,7,3,[ 0.          0.          0.         82.10328089  0.          0.        ]
0,1,7,4,"[  0.           0.           0.           0.         103.18223447
   0.        ]"
0,1,7,5,"[  0.           0.           0.           0.           0.
 100.23608301]"
0,2,0,0,[38.71024204  0.          0.          0.          0.          0.        ]
0,2,0,1,[ 0.         42.84514186  0.          0.          0.          0.        ]
0,2,0,2,[ 0.          0.         48.20508364  0.          0.          0.        ]
0,2,0,3,[ 0.          0.          0.         73.64418695  0.          0.        ]
0,2,0,4,[ 0.          0.          0.          0.         89.43221906  0.        ]
0,2,0,5,[ 0.          0.          0.          0.          0.         94.00382501]
0,2,1,0,[39.34103013  0.          0.          0.          0.          0.        ]
0,2,1,1,[ 0.         42.73348238  0.          0.          0.          0.        ]
0,2,1,2,[ 0.          0.         48.61437023  0.          0.          0.        ]
0,2,1,3,[ 0.          0.          0.         75.04361294  0.          0.        ]
0,2,1,4,[ 0.          0.          0.          0.         73.11077027  0.        ]
0,2,1,5,[ 0.         0.         0.         0.         0.        80.5140293]
0,2,2,0,[38.61965572  0.          0.          0.          0.          0.        ]
0,2,2,1,[ 0.         42.83897126  0.          0.          0.          0.        ]
0,2,2,2,[ 0.          0.         51.16713151  0.          0.          0.        ]
0,2,2,3,[ 0.         0.         0.        74.5635833  0.         0.       ]
0,2,2,4,[ 0.          0.          0.          0.         90.86183812  0.        ]
