InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,0,0,0,72.49999999999956
0,0,0,1,83.99999999999956
0,0,0,2,95.49999999999956
0,0,0,3,106.99999999999956
0,0,0,4,118.49999999999956
0,0,0,5,129.9999999999995
0,0,1,0,72.49999999999956
0,0,1,1,83.99999999999956
0,0,1,2,95.49999999999956
0,0,1,3,106.99999999999956
0,0,1,4,118.49999999999956
0,0,1,5,129.9999999999995
0,0,2,0,72.49999999999956
0,0,2,1,83.99999999999956
0,0,2,2,95.49999999999956
0,0,2,3,106.99999999999956
0,0,2,4,118.49999999999956
0,0,2,5,129.9999999999995
0,0,3,0,72.49999999999956
0,0,3,1,83.99999999999956
0,0,3,2,95.49999999999956
0,0,3,3,106.99999999999956
0,0,3,4,118.49999999999956
0,0,3,5,129.9999999999995
0,0,4,0,72.49999999999956
0,0,4,1,83.99999999999956
0,0,4,2,95.49999999999956
0,0,4,3,106.99999999999956
0,0,4,4,118.49999999999956
0,0,4,5,129.9999999999995
0,0,5,0,72.49999999999956
0,0,5,1,83.99999999999956
0,0,5,2,95.49999999999956
0,0,5,3,106.99999999999956
0,0,5,4,118.49999999999956
0,0,5,5,129.9999999999995
0,0,6,0,72.49999999999956
0,0,6,1,83.99999999999956
0,0,6,2,95.49999999999956
0,0,6,3,106.99999999999956
0,0,6,4,118.49999999999956
0,0,6,5,129.9999999999995
0,0,7,0,72.49999999999956
0,0,7,1,83.99999999999956
0,0,7,2,95.49999999999956
0,0,7,3,106.99999999999956
0,0,7,4,118.49999999999956
0,0,7,5,129.9999999999995
0,1,0,0,77.49999999999956
0,1,0,1,81.49999999999956
0,1,0,2,92.99999999999956
0,1,0,3,104.49999999999956
0,1,0,4,115.99999999999956
0,1,0,5,127.49999999999956
0,1,1,0,77.49999999999956
0,1,1,1,81.49999999999956
0,1,1,2,92.99999999999956
0,1,1,3,104.49999999999956
0,1,1,4,115.99999999999956
0,1,1,5,127.49999999999956
0,1,2,0,77.49999999999956
0,1,2,1,81.49999999999956
0,1,2,2,92.99999999999956
0,1,2,3,104.49999999999956
0,1,2,4,115.99999999999956
0,1,2,5,127.49999999999956
0,1,3,0,77.49999999999956
0,1,3,1,81.49999999999956
0,1,3,2,92.99999999999956
0,1,3,3,104.49999999999956
0,1,3,4,115.99999999999956
0,1,3,5,127.49999999999956
0,1,4,0,77.49999999999956
0,1,4,1,81.49999999999956
0,1,4,2,92.99999999999956
0,1,4,3,104.49999999999956
0,1,4,4,115.99999999999956
0,1,4,5,127.49999999999956
0,1,5,0,77.49999999999956
0,1,5,1,81.49999999999956
0,1,5,2,92.99999999999956
0,1,5,3,104.49999999999956
0,1,5,4,115.99999999999956
0,1,5,5,127.49999999999956
0,1,6,0,77.49999999999956
0,1,6,1,81.49999999999956
0,1,6,2,92.99999999999956
0,1,6,3,104.49999999999956
0,1,6,4,115.99999999999956
0,1,6,5,127.49999999999956
0,1,7,0,77.49999999999956
0,1,7,1,81.49999999999956
0,1,7,2,92.99999999999956
0,1,7,3,104.49999999999956
0,1,7,4,115.99999999999956
0,1,7,5,127.49999999999956
0,2,0,0,82.49999999999956
0,2,0,1,86.49999999999956
0,2,0,2,90.49999999999956
0,2,0,3,101.99999999999956
0,2,0,4,113.49999999999956
0,2,0,5,124.99999999999956
0,2,1,0,82.49999999999956
0,2,1,1,86.49999999999956
0,2,1,2,90.49999999999956
0,2,1,3,101.99999999999956
0,2,1,4,113.49999999999956
0,2,1,5,124.99999999999956
0,2,2,0,82.49999999999956
0,2,2,1,86.49999999999956
0,2,2,2,90.49999999999956
0,2,2,3,101.99999999999956
0,2,2,4,113.49999999999956
0,2,2,5,124.99999999999956
0,2,3,0,82.49999999999956
0,2,3,1,86.49999999999956
0,2,3,2,90.49999999999956
0,2,3,3,101.99999999999956
0,2,3,4,113.49999999999956
0,2,3,5,124.99999999999956
0,2,4,0,82.49999999999956
0,2,4,1,86.49999999999956
0,2,4,2,90.49999999999956
0,2,4,3,101.99999999999956
0,2,4,4,113.49999999999956
0,2,4,5,124.99999999999956
0,2,5,0,82.49999999999956
0,2,5,1,86.49999999999956
0,2,5,2,90.49999999999956
0,2,5,3,101.99999999999956
0,2,5,4,113.49999999999956
0,2,5,5,124.99999999999956
0,2,6,0,82.49999999999956
0,2,6,1,86.49999999999956
0,2,6,2,90.49999999999956
0,2,6,3,101.99999999999956
0,2,6,4,113.49999999999956
0,2,6,5,124.99999999999956
0,2,7,0,82.49999999999956
0,2,7,1,86.49999999999956
0,2,7,2,90.49999999999956
0,2,7,3,101.99999999999956
0,2,7,4,113.49999999999956
0,2,7,5,124.99999999999956
0,3,0,0,87.49999999999956
0,3,0,1,91.49999999999956
0,3,0,2,95.49999999999956
0,3,0,3,99.49999999999956
0,3,0,4,110.99999999999956
0,3,0,5,122.49999999999956
0,3,1,0,87.49999999999956
0,3,1,1,91.49999999999956
0,3,1,2,95.49999999999956
0,3,1,3,99.49999999999956
0,3,1,4,110.99999999999956
0,3,1,5,122.49999999999956
0,3,2,0,87.49999999999956
0,3,2,1,91.49999999999956
0,3,2,2,95.49999999999956
0,3,2,3,99.49999999999956
0,3,2,4,110.99999999999956
0,3,2,5,122.49999999999956
0,3,3,0,87.49999999999956
0,3,3,1,91.49999999999956
0,3,3,2,95.49999999999956
0,3,3,3,99.49999999999956
0,3,3,4,110.99999999999956
0,3,3,5,122.49999999999956
0,3,4,0,87.49999999999956
0,3,4,1,91.49999999999956
0,3,4,2,95.49999999999956
0,3,4,3,99.49999999999956
0,3,4,4,110.99999999999956
0,3,4,5,122.49999999999956
0,3,5,0,87.49999999999956
0,3,5,1,91.49999999999956
0,3,5,2,95.49999999999956
0,3,5,3,99.49999999999956
0,3,5,4,110.99999999999956
0,3,5,5,122.49999999999956
0,3,6,0,87.49999999999956
0,3,6,1,91.49999999999956
0,3,6,2,95.49999999999956
0,3,6,3,99.49999999999956
0,3,6,4,110.99999999999956
0,3,6,5,122.49999999999956
0,3,7,0,87.49999999999956
0,3,7,1,91.49999999999956
0,3,7,2,95.49999999999956
0,3,7,3,99.49999999999956
0,3,7,4,110.99999999999956
0,3,7,5,122.49999999999956
0,4,0,0,92.49999999999956
0,4,0,1,96.49999999999956
0,4,0,2,100.49999999999956
0,4,0,3,104.49999999999956
0,4,0,4,108.49999999999956
0,4,0,5,119.99999999999956
0,4,1,0,92.49999999999956
0,4,1,1,96.49999999999956
0,4,1,2,100.49999999999956
0,4,1,3,104.49999999999956
0,4,1,4,108.49999999999956
0,4,1,5,119.99999999999956
0,4,2,0,92.49999999999956
0,4,2,1,96.49999999999956
0,4,2,2,100.49999999999956
0,4,2,3,104.49999999999956
0,4,2,4,108.49999999999956
0,4,2,5,119.99999999999956
0,4,3,0,92.49999999999956
0,4,3,1,96.49999999999956
0,4,3,2,100.49999999999956
0,4,3,3,104.49999999999956
0,4,3,4,108.49999999999956
0,4,3,5,119.99999999999956
0,4,4,0,92.49999999999956
0,4,4,1,96.49999999999956
0,4,4,2,100.49999999999956
0,4,4,3,104.49999999999956
0,4,4,4,108.49999999999956
0,4,4,5,119.99999999999956
0,4,5,0,92.49999999999956
0,4,5,1,96.49999999999956
0,4,5,2,100.49999999999956
0,4,5,3,104.49999999999956
0,4,5,4,108.49999999999956
0,4,5,5,119.99999999999956
0,4,6,0,92.49999999999956
0,4,6,1,96.49999999999956
0,4,6,2,100.49999999999956
0,4,6,3,104.49999999999956
0,4,6,4,108.49999999999956
0,4,6,5,119.99999999999956
0,4,7,0,92.49999999999956
0,4,7,1,96.49999999999956
0,4,7,2,100.49999999999956
0,4,7,3,104.49999999999956
0,4,7,4,108.49999999999956
0,4,7,5,119.99999999999956
0,5,0,0,97.49999999999956
0,5,0,1,101.49999999999956
0,5,0,2,105.49999999999956
0,5,0,3,109.49999999999956
0,5,0,4,113.49999999999956
0,5,0,5,117.49999999999956
0,5,1,0,97.49999999999956
0,5,1,1,101.49999999999956
0,5,1,2,105.49999999999956
0,5,1,3,109.49999999999956
0,5,1,4,113.49999999999956
0,5,1,5,117.49999999999956
0,5,2,0,97.49999999999956
0,5,2,1,101.49999999999956
0,5,2,2,105.49999999999956
0,5,2,3,109.49999999999956
0,5,2,4,113.49999999999956
0,5,2,5,117.49999999999956
0,5,3,0,97.49999999999956
0,5,3,1,101.49999999999956
0,5,3,2,105.49999999999956
0,5,3,3,109.49999999999956
0,5,3,4,113.49999999999956
0,5,3,5,117.49999999999956
0,5,4,0,97.49999999999956
0,5,4,1,101.49999999999956
0,5,4,2,105.49999999999956
0,5,4,3,109.49999999999956
0,5,4,4,113.49999999999956
0,5,4,5,117.49999999999956
0,5,5,0,97.49999999999956
0,5,5,1,101.49999999999956
0,5,5,2,105.49999999999956
0,5,5,3,109.49999999999956
0,5,5,4,113.49999999999956
0,5,5,5,117.49999999999956
0,5,6,0,97.49999999999956
0,5,6,1,101.49999999999956
0,5,6,2,105.49999999999956
0,5,6,3,109.49999999999956
0,5,6,4,113.49999999999956
0,5,6,5,117.49999999999956
0,5,7,0,97.49999999999956
0,5,7,1,101.49999999999956
0,5,7,2,105.49999999999956
0,5,7,3,109.49999999999956
0,5,7,4,113.49999999999956
0,5,7,5,117.49999999999956
0,6,0,0,102.49999999999956
0,6,0,1,106.49999999999956
0,6,0,2,110.49999999999956
0,6,0,3,114.49999999999956
0,6,0,4,118.49999999999956
0,6,0,5,122.49999999999956
0,6,1,0,102.49999999999956
0,6,1,1,106.49999999999956
0,6,1,2,110.49999999999956
0,6,1,3,114.49999999999956
0,6,1,4,118.49999999999956
0,6,1,5,122.49999999999956
0,6,2,0,102.49999999999956
0,6,2,1,106.49999999999956
0,6,2,2,110.49999999999956
0,6,2,3,114.49999999999956
0,6,2,4,118.49999999999956
0,6,2,5,122.49999999999956
0,6,3,0,102.49999999999956
0,6,3,1,106.49999999999956
0,6,3,2,110.49999999999956
0,6,3,3,114.49999999999956
0,6,3,4,118.49999999999956
0,6,3,5,122.49999999999956
0,6,4,0,102.49999999999956
0,6,4,1,106.49999999999956
0,6,4,2,110.49999999999956
0,6,4,3,114.49999999999956
0,6,4,4,118.49999999999956
0,6,4,5,122.49999999999956
0,6,5,0,102.49999999999956
0,6,5,1,106.49999999999956
0,6,5,2,110.49999999999956
0,6,5,3,114.49999999999956
0,6,5,4,118.49999999999956
0,6,5,5,122.49999999999956
0,6,6,0,102.49999999999956
0,6,6,1,106.49999999999956
0,6,6,2,110.49999999999956
0,6,6,3,114.49999999999956
0,6,6,4,118.49999999999956
0,6,6,5,122.49999999999956
0,6,7,0,102.49999999999956
0,6,7,1,106.49999999999956
0,6,7,2,110.49999999999956
0,6,7,3,114.49999999999956
0,6,7,4,118.49999999999956
0,6,7,5,122.49999999999956
0,7,0,0,107.49999999999956
0,7,0,1,111.49999999999956
0,7,0,2,115.49999999999956
0,7,0,3,119.49999999999956
0,7,0,4,123.49999999999956
0,7,0,5,127.49999999999956
0,7,1,0,107.49999999999956
0,7,1,1,111.49999999999956
0,7,1,2,115.49999999999956
0,7,1,3,119.49999999999956
0,7,1,4,123.49999999999956
0,7,1,5,127.49999999999956
0,7,2,0,107.49999999999956
0,7,2,1,111.49999999999956
0,7,2,2,115.49999999999956
0,7,2,3,119.49999999999956
0,7,2,4,123.49999999999956
0,7,2,5,127.49999999999956
0,7,3,0,107.49999999999956
0,7,3,1,111.49999999999956
0,7,3,2,115.49999999999956
0,7,3,3,119.49999999999956
0,7,3,4,123.49999999999956
0,7,3,5,127.49999999999956
0,7,4,0,107.49999999999956
0,7,4,1,111.49999999999956
0,7,4,2,115.49999999999956
0,7,4,3,119.49999999999956
0,7,4,4,123.49999999999956
0,7,4,5,127.49999999999956
0,7,5,0,107.49999999999956
0,7,5,1,111.49999999999956
0,7,5,2,115.49999999999956
0,7,5,3,119.49999999999956
0,7,5,4,123.49999999999956
0,7,5,5,127.49999999999956
0,7,6,0,107.49999999999956
0,7,6,1,111.49999999999956
0,7,6,2,115.49999999999956
0,7,6,3,119.49999999999956
0,7,6,4,123.49999999999956
0,7,6,5,127.49999999999956
0,7,7,0,107.49999999999956
0,7,7,1,111.49999999999956
0,7,7,2,115.49999999999956
0,7,7,3,119.49999999999956
0,7,7,4,123.49999999999956
0,7,7,5,127.49999999999956
1,0,0,0,84.99999999984395
1,0,0,1,96.49999999999888
1,0,0,2,107.99999999999956
1,0,0,3,119.49999999991321
1,0,0,4,130.9999999999995
1,0,0,5,137.4999999999995
1,0,1,0,84.99999999996955
1,0,1,1,96.49999999999176
1,0,1,2,107.99999999999956
1,0,1,3,119.49999999993324
1,0,1,4,130.99999999995998
1,0,1,5,137.4999999999995
1,0,2,0,84.99999999946989
1,0,2,1,96.49999999998971
1,0,2,2,107.99999999999956
1,0,2,3,119.49999999997681
1,0,2,4,130.9999999999995
1,0,2,5,137.4999999999995
1,0,3,0,84.99999999999645
1,0,3,1,96.49999999999956
1,0,3,2,107.99999999999696
1,0,3,3,119.49999999947876
1,0,3,4,130.9999999999995
1,0,3,5,137.4999999999995
1,0,4,0,84.99999999998427
1,0,4,1,96.49999999902367
1,0,4,2,107.99999999999956
1,0,4,3,119.49999999689656
1,0,4,4,130.9999999998438
1,0,4,5,137.4999999999995
1,0,5,0,84.99999999954709
1,0,5,1,96.49999999999788
1,0,5,2,107.99999999999956
1,0,5,3,119.49999999984554
1,0,5,4,130.9999999999638
1,0,5,5,137.4999999999995
1,0,6,0,84.9999999999088
1,0,6,1,96.49999999999956
1,0,6,2,107.99999999998397
1,0,6,3,119.49999999999956
1,0,6,4,130.99999999998855
1,0,6,5,137.4999999999995
1,0,7,0,84.99999999999521
1,0,7,1,96.49999999985435
1,0,7,2,107.99999999996827
1,0,7,3,119.49999999961219
1,0,7,4,130.9999999999995
1,0,7,5,137.4999999999995
1,1,0,0,82.49999999993268
1,1,0,1,93.99999999998468
1,1,0,2,105.49999999999956
1,1,0,3,116.99999999996962
1,1,0,4,128.4999999999995
1,1,0,5,139.9999999999995
1,1,1,0,82.49999999999561
1,1,1,1,93.99999999999635
1,1,1,2,105.4999999999606
1,1,1,3,116.99999999991122
1,1,1,4,128.4999999999995
1,1,1,5,139.9999999999995
1,1,2,0,82.49999999999956
1,1,2,1,93.99999999990942
