,State,Action,Reward
0,0,0,-15
1,0,1,-14
2,0,2,-13
3,0,3,-12
4,0,4,-11
5,0,5,10
6,0,6,9
7,0,7,8
8,0,8,7
9,0,9,6
10,0,10,5
11,1,0,-14
12,1,1,-13
13,1,2,-12
14,1,3,-11
15,1,4,10
16,1,5,9
17,1,6,8
18,1,7,7
19,1,8,6
20,1,9,5
21,1,10,5
22,2,0,-13
23,2,1,-12
24,2,2,-11
25,2,3,10
26,2,4,9
27,2,5,8
28,2,6,7
29,2,7,6
30,2,8,5
31,2,9,5
32,2,10,5
33,3,0,-12
34,3,1,-11
35,3,2,10
36,3,3,9
37,3,4,8
38,3,5,7
39,3,6,6
40,3,7,5
41,3,8,5
42,3,9,5
43,3,10,5
44,4,0,-11
45,4,1,10
46,4,2,9
47,4,3,8
48,4,4,7
49,4,5,6
50,4,6,5
51,4,7,5
52,4,8,5
53,4,9,5
54,4,10,5
55,5,0,10
56,5,1,9
57,5,2,8
58,5,3,7
59,5,4,6
60,5,5,5
61,5,6,5
62,5,7,5
63,5,8,5
64,5,9,5
65,5,10,5
66,6,0,9
67,6,1,8
68,6,2,7
69,6,3,6
70,6,4,5
71,6,5,5
72,6,6,5
73,6,7,5
74,6,8,5
75,6,9,5
76,6,10,5
77,7,0,8
78,7,1,7
79,7,2,6
80,7,3,5
81,7,4,5
82,7,5,5
83,7,6,5
84,7,7,5
85,7,8,5
86,7,9,5
87,7,10,5
88,8,0,7
89,8,1,6
90,8,2,5
91,8,3,5
92,8,4,5
93,8,5,5
94,8,6,5
95,8,7,5
96,8,8,5
97,8,9,5
98,8,10,5
99,9,0,6
100,9,1,5
101,9,2,5
102,9,3,5
103,9,4,5
104,9,5,5
105,9,6,5
106,9,7,5
107,9,8,5
108,9,9,5
109,9,10,5
110,10,0,5
111,10,1,5
112,10,2,5
113,10,3,5
114,10,4,5
115,10,5,5
116,10,6,5
117,10,7,5
118,10,8,5
119,10,9,5
120,10,10,5
