Time,Queue 0 Product 0,Queue 0 Product 1,Queue 1 Product 0,Queue 1 Product 1,Queue 2 Product 0,Queue 2 Product 1,Queue 3 Product 0,Queue 3 Product 1,Demand Queue Product 0,Demand Queue Product 1,Machine 1 Current Product,Machine 3 Current Product
0,1,1,0,0,0,0,0,0,1,1,None,None
1,2,1,0,0,0,0,0,0,2,1,None,None
2,3,1,0,0,0,0,0,0,3,1,None,None
3,0,2,0,0,0,0,0,0,4,2,None,None
4,1,2,0,0,0,0,0,0,5,2,None,None
5,2,2,0,0,0,0,0,0,6,2,None,None
6,3,3,0,0,0,0,0,0,7,3,None,None
7,4,3,0,0,0,0,0,0,8,3,None,None
8,5,3,0,0,0,0,0,0,9,3,None,None
9,6,4,0,0,0,0,0,0,10,4,None,None
10,7,4,0,0,0,0,0,0,11,4,None,None
11,8,4,0,0,0,0,0,0,12,4,None,None
12,9,5,0,0,0,0,0,0,13,5,None,None
13,10,5,0,0,0,0,0,0,14,5,None,None
14,11,5,0,0,0,0,0,0,15,5,None,None
15,12,6,0,0,0,0,0,0,16,6,None,None
16,13,6,0,0,0,0,0,0,17,6,None,None
17,14,6,0,0,0,0,0,0,18,6,None,None
18,15,7,0,0,0,0,0,0,19,7,None,None
19,16,7,0,0,0,0,0,0,20,7,None,None
20,17,7,0,0,0,0,0,0,21,7,None,None
21,18,8,0,0,0,0,0,0,22,8,None,None
22,19,8,0,0,0,0,0,0,23,8,None,None
23,20,8,0,0,0,0,0,0,24,8,None,None
24,21,9,0,0,0,0,0,0,25,9,None,None
25,22,9,0,0,0,0,0,0,26,9,None,None
26,23,9,0,0,0,0,0,0,27,9,None,None
27,24,10,0,0,0,0,0,0,28,10,None,None
28,25,10,0,0,0,0,0,0,29,10,None,None
29,26,10,0,0,0,0,0,0,30,10,None,None
30,27,11,0,0,0,0,0,0,31,11,None,None
31,28,11,0,0,0,0,0,0,32,11,None,None
32,29,11,0,0,0,0,0,0,33,11,None,None
33,30,12,0,0,0,0,0,0,34,12,None,None
34,31,12,0,0,0,0,0,0,35,12,None,None
35,32,12,0,0,0,0,0,0,36,12,None,None
36,33,13,0,0,0,0,0,0,37,13,None,None
37,34,13,0,0,0,0,0,0,38,13,None,None
38,35,13,0,0,0,0,0,0,39,13,None,None
39,36,14,0,0,0,0,0,0,40,14,None,None
40,37,14,0,0,0,0,0,0,41,14,None,None
41,38,14,0,0,0,0,0,0,42,14,None,None
42,39,15,0,0,0,0,0,0,43,15,None,None
43,40,15,0,0,0,0,0,0,44,15,None,None
44,41,15,0,0,0,0,0,0,45,15,None,None
45,42,16,0,0,0,0,0,0,46,16,None,None
46,43,16,0,0,0,0,0,0,47,16,None,None
47,44,16,0,0,0,0,0,0,48,16,None,None
48,45,17,0,0,0,0,0,0,49,17,None,None
49,46,17,0,0,0,0,0,0,50,17,None,None
50,47,17,0,0,0,0,0,0,51,17,None,None
51,48,18,0,0,0,0,0,0,52,18,None,None
52,49,18,0,0,0,0,0,0,53,18,None,None
53,50,18,0,0,0,0,0,0,54,18,None,None
54,51,19,0,0,0,0,0,0,55,19,None,None
55,52,19,0,0,0,0,0,0,56,19,None,None
56,53,19,0,0,0,0,0,0,57,19,None,None
57,54,20,0,0,0,0,0,0,58,20,None,None
58,55,20,0,0,0,0,0,0,59,20,None,None
59,56,20,0,0,0,0,0,0,60,20,None,None
60,57,21,0,0,0,0,0,0,61,21,None,None
61,58,21,0,0,0,0,0,0,62,21,None,None
62,59,21,0,0,0,0,0,0,63,21,None,None
63,60,22,0,0,0,0,0,0,64,22,None,None
64,61,22,0,0,0,0,0,0,65,22,None,None
65,62,22,0,0,0,0,0,0,66,22,None,None
66,63,23,0,0,0,0,0,0,67,23,None,None
67,64,23,0,0,0,0,0,0,68,23,None,None
68,65,23,0,0,0,0,0,0,69,23,None,None
69,66,24,0,0,0,0,0,0,70,24,None,None
70,67,24,0,0,0,0,0,0,71,24,None,None
71,68,24,0,0,0,0,0,0,72,24,None,None
72,69,25,0,0,0,0,0,0,73,25,None,None
73,70,25,0,0,0,0,0,0,74,25,None,None
74,71,25,0,0,0,0,0,0,75,25,None,None
75,72,26,0,0,0,0,0,0,76,26,None,None
76,73,26,0,0,0,0,0,0,77,26,None,None
77,74,26,0,0,0,0,0,0,78,26,None,None
78,75,27,0,0,0,0,0,0,79,27,None,None
79,76,27,0,0,0,0,0,0,80,27,None,None
80,77,27,0,0,0,0,0,0,81,27,None,None
81,78,28,0,0,0,0,0,0,82,28,None,None
82,79,28,0,0,0,0,0,0,83,28,None,None
83,80,28,0,0,0,0,0,0,84,28,None,None
84,81,29,0,0,0,0,0,0,85,29,None,None
85,82,29,0,0,0,0,0,0,86,29,None,None
86,83,29,0,0,0,0,0,0,87,29,None,None
87,84,30,0,0,0,0,0,0,88,30,None,None
88,85,30,0,0,0,0,0,0,89,30,None,None
