Time,Machine 0 Action,Machine 1 Action,Machine 2 Action,Machine 3 Action,Queue 0 Product 0,Queue 0 Product 1,Queue 1 Product 0,Queue 1 Product 1,Queue 2 Product 0,Queue 2 Product 1,Queue 3 Product 0,Queue 3 Product 1,Queue Fin Product 0,Queue Fin Product 1,Demand Queue Product 0,Demand Queue Product 1,Machine 0 Current Product,Machine 1 Current Product,Machine 2 Current Product,Machine 3 Current Product,Machine 0 timeremaining,Machine 1 timeremaining,Machine 2 timeremaining,Machine 3 timeremaining
0,Prod0,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,16,None,None,None
1,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,15,None,None,None
2,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,14,None,None,None
3,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,13,None,None,None
4,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,12,None,None,None
5,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,11,None,None,None
6,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,10,None,None,None
7,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,9,None,None,None
8,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,8,None,None,None
9,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,7,None,None,None
10,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,6,None,None,None
11,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,5,None,None,None
12,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,4,None,None,None
13,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,3,None,None,None
14,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,2,None,None,None
15,,,,,60,64,0,0,0,0,0,0,0,0,64,64,0,None,None,None,1,None,None,None
16,,,,,60,64,4,0,0,0,0,0,0,0,64,64,0,None,None,None,0,None,None,None
17,Prod0,Prod0,,,56,64,3,0,0,0,0,0,0,0,64,64,0,0,None,None,16,3,None,None
18,,,,,56,64,3,0,0,0,0,0,0,0,64,64,0,0,None,None,15,2,None,None
19,,,,,56,64,3,0,0,0,0,0,0,0,64,64,0,0,None,None,14,1,None,None
20,,,,,56,64,3,0,1,0,0,0,0,0,64,64,0,0,None,None,13,0,None,None
21,,Prod0,,,56,64,2,0,1,0,0,0,0,0,64,64,0,0,None,None,12,2,None,None
22,,,,,56,64,2,0,1,0,0,0,0,0,64,64,0,0,None,None,11,1,None,None
23,,,,,56,64,2,0,2,0,0,0,0,0,64,64,0,0,None,None,10,0,None,None
24,,Prod0,,,56,64,1,0,2,0,0,0,0,0,64,64,0,0,None,None,9,2,None,None
25,,,,,56,64,1,0,2,0,0,0,0,0,64,64,0,0,None,None,8,1,None,None
26,,,,,56,64,1,0,3,0,0,0,0,0,64,64,0,0,None,None,7,0,None,None
27,,Prod0,,,56,64,0,0,3,0,0,0,0,0,64,64,0,0,None,None,6,2,None,None
28,,,,,56,64,0,0,3,0,0,0,0,0,64,64,0,0,None,None,5,1,None,None
29,,,,,56,64,0,0,4,0,0,0,0,0,64,64,0,0,None,None,4,0,None,None
30,,,Prod0,,56,64,0,0,0,0,0,0,0,0,64,64,0,0,0,None,3,0,16,None
31,,,,,56,64,0,0,0,0,0,0,0,0,64,64,0,0,0,None,2,0,15,None
32,,,,,56,64,0,0,0,0,0,0,0,0,64,64,0,0,0,None,1,0,14,None
33,,,,,56,64,4,0,0,0,0,0,0,0,64,64,0,0,0,None,0,0,13,None
34,Prod0,Prod0,,,52,64,3,0,0,0,0,0,0,0,64,64,0,0,0,None,16,2,12,None
35,,,,,52,64,3,0,0,0,0,0,0,0,64,64,0,0,0,None,15,1,11,None
36,,,,,52,64,3,0,1,0,0,0,0,0,64,64,0,0,0,None,14,0,10,None
37,,Prod0,,,52,64,2,0,1,0,0,0,0,0,64,64,0,0,0,None,13,2,9,None
38,,,,,52,64,2,0,1,0,0,0,0,0,64,64,0,0,0,None,12,1,8,None
39,,,,,52,64,2,0,2,0,0,0,0,0,64,64,0,0,0,None,11,0,7,None
40,,Prod0,,,52,64,1,0,2,0,0,0,0,0,64,64,0,0,0,None,10,2,6,None
41,,,,,52,64,1,0,2,0,0,0,0,0,64,64,0,0,0,None,9,1,5,None
42,,,,,52,64,1,0,3,0,0,0,0,0,64,64,0,0,0,None,8,0,4,None
43,,Prod0,,,52,64,0,0,3,0,0,0,0,0,64,64,0,0,0,None,7,2,3,None
44,,,,,52,64,0,0,3,0,0,0,0,0,64,64,0,0,0,None,6,1,2,None
45,,,,,52,64,0,0,4,0,0,0,0,0,64,64,0,0,0,None,5,0,1,None
46,,,,,52,64,0,0,4,0,4,0,0,0,64,64,0,0,0,None,4,0,0,None
47,,,Prod0,Prod0,52,64,0,0,0,0,3,0,0,0,64,64,0,0,0,0,3,0,16,3
48,,,,,52,64,0,0,0,0,3,0,0,0,64,64,0,0,0,0,2,0,15,2
49,,,,,52,64,0,0,0,0,3,0,0,0,64,64,0,0,0,0,1,0,14,1
50,,,,,52,64,4,0,0,0,3,0,0,0,63,64,0,0,0,0,0,0,13,0
51,Prod1,Prod0,,Prod0,52,60,3,0,0,0,2,0,0,0,63,64,1,0,0,0,20,2,12,2
52,,,,,52,60,3,0,0,0,2,0,0,0,63,64,1,0,0,0,19,1,11,1
53,,,,,52,60,3,0,1,0,2,0,0,0,62,64,1,0,0,0,18,0,10,0
54,,Prod0,,Prod0,52,60,2,0,1,0,1,0,0,0,62,64,1,0,0,0,17,2,9,2
55,,,,,52,60,2,0,1,0,1,0,0,0,62,64,1,0,0,0,16,1,8,1
56,,,,,52,60,2,0,2,0,1,0,0,0,61,64,1,0,0,0,15,0,7,0
57,,Prod0,,Prod0,52,60,1,0,2,0,0,0,0,0,61,64,1,0,0,0,14,2,6,2
58,,,,,52,60,1,0,2,0,0,0,0,0,61,64,1,0,0,0,13,1,5,1
59,,,,,52,60,1,0,3,0,0,0,0,0,60,64,1,0,0,0,12,0,4,0
60,,Prod0,,,52,60,0,0,3,0,0,0,0,0,60,64,1,0,0,0,11,2,3,0
61,,,,,52,60,0,0,3,0,0,0,0,0,60,64,1,0,0,0,10,1,2,0
62,,,,,52,60,0,0,4,0,0,0,0,0,60,64,1,0,0,0,9,0,1,0
63,,,,,52,60,0,0,4,0,4,0,0,0,60,64,1,0,0,0,8,0,0,0
