,State,Demand,Forecast,Action,Reward
0,-5,0,0,0,-50.0
1,-5,0,0,1,-40.0
2,-5,0,0,2,-30.0
3,-5,0,0,3,-20.0
4,-5,0,0,4,-10.0
5,-5,0,0,5,7.0
6,-5,0,1,0,-50.0
7,-5,0,1,1,-40.0
8,-5,0,1,2,-30.0
9,-5,0,1,3,-20.0
10,-5,0,1,4,-10.0
11,-5,0,1,5,7.0
12,-5,0,2,0,-50.0
13,-5,0,2,1,-40.0
14,-5,0,2,2,-30.0
15,-5,0,2,3,-20.0
16,-5,0,2,4,-10.0
17,-5,0,2,5,7.0
18,-5,0,3,0,-50.0
19,-5,0,3,1,-40.0
20,-5,0,3,2,-30.0
21,-5,0,3,3,-20.0
22,-5,0,3,4,-10.0
23,-5,0,3,5,7.0
24,-5,0,4,0,-50.0
25,-5,0,4,1,-40.0
26,-5,0,4,2,-30.0
27,-5,0,4,3,-20.0
28,-5,0,4,4,-10.0
29,-5,0,4,5,7.0
30,-5,0,5,0,-50.0
31,-5,0,5,1,-40.0
32,-5,0,5,2,-30.0
33,-5,0,5,3,-20.0
34,-5,0,5,4,-10.0
35,-5,0,5,5,7.0
36,-5,0,6,0,-50.0
37,-5,0,6,1,-40.0
38,-5,0,6,2,-30.0
39,-5,0,6,3,-20.0
40,-5,0,6,4,-10.0
41,-5,0,6,5,7.0
42,-5,0,7,0,-50.0
43,-5,0,7,1,-40.0
44,-5,0,7,2,-30.0
45,-5,0,7,3,-20.0
46,-5,0,7,4,-10.0
47,-5,0,7,5,7.0
48,-5,1,0,0,-80.0
49,-5,1,0,1,-50.0
50,-5,1,0,2,-40.0
51,-5,1,0,3,-30.0
52,-5,1,0,4,-20.0
53,-5,1,0,5,-10.0
54,-5,1,1,0,-80.0
55,-5,1,1,1,-50.0
56,-5,1,1,2,-40.0
57,-5,1,1,3,-30.0
58,-5,1,1,4,-20.0
59,-5,1,1,5,-10.0
60,-5,1,2,0,-80.0
61,-5,1,2,1,-50.0
62,-5,1,2,2,-40.0
63,-5,1,2,3,-30.0
64,-5,1,2,4,-20.0
65,-5,1,2,5,-10.0
66,-5,1,3,0,-80.0
67,-5,1,3,1,-50.0
68,-5,1,3,2,-40.0
69,-5,1,3,3,-30.0
70,-5,1,3,4,-20.0
71,-5,1,3,5,-10.0
72,-5,1,4,0,-80.0
73,-5,1,4,1,-50.0
74,-5,1,4,2,-40.0
75,-5,1,4,3,-30.0
76,-5,1,4,4,-20.0
77,-5,1,4,5,-10.0
78,-5,1,5,0,-80.0
79,-5,1,5,1,-50.0
80,-5,1,5,2,-40.0
81,-5,1,5,3,-30.0
82,-5,1,5,4,-20.0
83,-5,1,5,5,-10.0
84,-5,1,6,0,-80.0
85,-5,1,6,1,-50.0
86,-5,1,6,2,-40.0
87,-5,1,6,3,-30.0
88,-5,1,6,4,-20.0
89,-5,1,6,5,-10.0
90,-5,1,7,0,-80.0
91,-5,1,7,1,-50.0
92,-5,1,7,2,-40.0
93,-5,1,7,3,-30.0
94,-5,1,7,4,-20.0
95,-5,1,7,5,-10.0
96,-5,2,0,0,-80.0
97,-5,2,0,1,-80.0
98,-5,2,0,2,-50.0
99,-5,2,0,3,-40.0
100,-5,2,0,4,-30.0
101,-5,2,0,5,-20.0
102,-5,2,1,0,-80.0
103,-5,2,1,1,-80.0
104,-5,2,1,2,-50.0
105,-5,2,1,3,-40.0
106,-5,2,1,4,-30.0
107,-5,2,1,5,-20.0
108,-5,2,2,0,-80.0
109,-5,2,2,1,-80.0
110,-5,2,2,2,-50.0
111,-5,2,2,3,-40.0
112,-5,2,2,4,-30.0
113,-5,2,2,5,-20.0
114,-5,2,3,0,-80.0
115,-5,2,3,1,-80.0
116,-5,2,3,2,-50.0
117,-5,2,3,3,-40.0
118,-5,2,3,4,-30.0
119,-5,2,3,5,-20.0
120,-5,2,4,0,-80.0
121,-5,2,4,1,-80.0
122,-5,2,4,2,-50.0
123,-5,2,4,3,-40.0
124,-5,2,4,4,-30.0
125,-5,2,4,5,-20.0
126,-5,2,5,0,-80.0
127,-5,2,5,1,-80.0
128,-5,2,5,2,-50.0
129,-5,2,5,3,-40.0
130,-5,2,5,4,-30.0
131,-5,2,5,5,-20.0
132,-5,2,6,0,-80.0
133,-5,2,6,1,-80.0
134,-5,2,6,2,-50.0
135,-5,2,6,3,-40.0
136,-5,2,6,4,-30.0
137,-5,2,6,5,-20.0
138,-5,2,7,0,-80.0
139,-5,2,7,1,-80.0
140,-5,2,7,2,-50.0
141,-5,2,7,3,-40.0
142,-5,2,7,4,-30.0
143,-5,2,7,5,-20.0
144,-5,3,0,0,-80.0
145,-5,3,0,1,-80.0
146,-5,3,0,2,-80.0
147,-5,3,0,3,-50.0
148,-5,3,0,4,-40.0
149,-5,3,0,5,-30.0
150,-5,3,1,0,-80.0
151,-5,3,1,1,-80.0
152,-5,3,1,2,-80.0
153,-5,3,1,3,-50.0
154,-5,3,1,4,-40.0
155,-5,3,1,5,-30.0
156,-5,3,2,0,-80.0
157,-5,3,2,1,-80.0
158,-5,3,2,2,-80.0
159,-5,3,2,3,-50.0
160,-5,3,2,4,-40.0
161,-5,3,2,5,-30.0
162,-5,3,3,0,-80.0
163,-5,3,3,1,-80.0
164,-5,3,3,2,-80.0
165,-5,3,3,3,-50.0
166,-5,3,3,4,-40.0
167,-5,3,3,5,-30.0
168,-5,3,4,0,-80.0
169,-5,3,4,1,-80.0
170,-5,3,4,2,-80.0
171,-5,3,4,3,-50.0
